,apx,apx-na,knapsack,MR,GeRt,GLp,GSw,BIN,intersection,n_points,apx_reward,apx_cost,apx-na_reward,apx-na_cost,knapsack_reward,knapsack_cost,MR_reward,MR_cost,GLp_reward,GLp_cost,GSw_reward,GSw_cost,GeRt_reward,GeRt_cost,BIN_reward,BIN_cost,#BIN
167,1.0,0.9414,1.0,0.9492,0.5131,1.0,0.2879,0.7594,2.451,50,4999,24338,4706,14270,4999,24410,4745,24794,4999,23723,1439,20876,2565,24391,3796,22842,94
168,1.0,0.9562,1.0,0.9406,0.4372,0.8991,0.5626,0.7081,2.9608,50,6077,24308,5811,17262,6077,23732,5716,24668,5464,23794,3419,19210,2657,23491,4303,21971,84
169,1.0,0.9492,1.0,0.9387,0.4387,1.0,0.5485,0.6947,2.9608,50,7369,24123,6995,17129,7369,23795,6917,24312,7369,23167,4042,19690,3233,24115,5119,23149,83
170,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,9.3529,50,447,13298,447,11631,447,13139,447,13298,447,12080,0,19602,0,23357,447,12354,19
171,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0784,50,7,24670,7,22405,7,24218,7,24585,7,22410,0,20966,0,23693,7,24652,109
172,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,9.902,50,658,13081,658,11634,658,13249,658,13081,658,12085,0,19709,0,23482,658,12361,19
173,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,8.6471,50,951,13057,951,11191,951,13104,951,13057,951,11642,0,19674,0,23412,951,11918,27
174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,50,0,24606,0,24606,0,23516,0,24606,0,23656,0,20935,0,23656,0,24606,110
175,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,8.7647,50,1035,12993,1035,11125,1035,13040,1035,12993,1035,11577,0,19698,0,23441,1035,11853,27
176,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.1176,50,121,24607,121,22309,121,24121,121,24494,121,23594,0,20959,0,23680,121,24104,109
177,1.0,1.0,1.0,0.999,0.0,1.0,0.0,1.0,9.3529,50,1034,16190,1034,12006,1034,15441,1033,12986,1034,12457,0,19697,0,23470,1034,14544,42
178,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,9.7059,50,1451,12674,1451,10794,1451,12721,1451,12674,1451,11249,0,19816,0,23610,1451,11527,24
179,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,9.7059,50,1361,12737,1361,10860,1361,12784,1361,12737,1361,11314,0,19782,0,23571,1361,11592,24
180,1.0,0.9964,1.0,0.9734,0.0,0.9964,0.0169,0.9964,13.3529,50,1956,15745,1949,12806,1956,15390,1904,12420,1949,13267,33,19974,0,23833,1949,13548,26
181,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,9.2353,50,1122,12930,1122,11058,1122,12977,1122,12930,1122,11511,0,19727,0,23474,1122,11788,26
182,0.9601,0.9601,1.0,1.0,0.4591,0.9601,0.1126,0.8381,2.7255,50,2336,24427,2336,15475,2433,24116,2433,24477,2336,24028,274,19673,1117,24506,2039,23585,90
183,0.9434,0.9316,0.9881,0.9266,0.5165,0.9434,0.4046,0.701,3.4314,50,8024,23431,7923,19788,8404,23757,7881,23963,8024,22219,3441,19917,4393,23717,5962,21941,76
184,0.9806,0.9797,1.0,1.0,0.4238,0.9017,0.1136,0.8371,2.8039,50,3383,24191,3380,15209,3450,23843,3450,23786,3111,22761,392,20127,1462,23764,2888,22722,95
185,1.0,0.9846,1.0,0.958,0.4091,1.0,0.1436,0.8144,2.3725,50,3119,23554,3071,15086,3119,24812,2988,24161,3119,23081,448,19864,1276,23721,2540,21894,97
186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,50,0,24606,0,24606,0,23516,0,24606,0,23656,0,20935,0,23656,0,24606,110
187,0.9734,0.9734,1.0,0.9734,0.0,1.0,0.0,1.0,9.3529,50,659,13138,659,11465,677,15890,659,13138,677,14244,0,19667,0,23432,677,14519,30
188,1.0,1.0,1.0,1.0,0.0,1.0,0.3435,1.0,1.4314,50,425,24585,425,19065,425,23504,425,24585,425,24114,146,20965,0,24283,425,24079,96
189,1.0,1.0,1.0,1.0,0.0,1.0,0.191,1.0,1.6275,50,513,24444,513,23823,513,23369,513,24543,513,24718,98,20969,0,24229,513,23937,91
190,1.0,1.0,1.0,1.0,0.0,1.0,0.1949,1.0,1.6275,50,395,24513,395,23892,395,23444,395,24610,395,23530,77,20948,0,24182,395,21294,96
191,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,9.7059,50,1269,12804,1269,10929,1269,12851,1269,12804,1269,11383,0,19755,0,23536,1269,11660,24
192,1.0,1.0,1.0,0.9766,0.0,1.0,0.0,0.9461,9.7059,50,1409,15863,1409,13186,1409,15750,1376,12739,1409,13641,0,19819,0,23613,1333,15420,53
193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,50,0,24606,0,24606,0,23516,0,24606,0,23656,0,20935,0,23656,0,24606,110
194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,50,0,24606,0,24606,0,23516,0,24606,0,23656,0,20935,0,23656,0,24606,110
