,apx,apx-na,knapsack,MR,GeRt,GLp,GSw,BIN,BIN_naive,intersection,n_points,apx_reward,apx_cost,apx-na_reward,apx-na_cost,knapsack_reward,knapsack_cost,MR_reward,MR_cost,GLp_reward,GLp_cost,GSw_reward,GSw_cost,GeRt_reward,GeRt_cost,BIN_reward,BIN_cost,BIN_naive_reward,BIN_naive_cost,#BIN
49,0.9897,0.9425,1.0,0.7712,0.1193,0.9425,0.1995,0.9025,0.1779,39.6316,75,17503,34070,16668,14462,17685,33386,13638,11021,16668,14462,3528,42577,2110,48568,15960,21504,3147,8379,30
50,0.9475,0.7365,0.9926,0.5832,0.0707,0.724,0.1589,0.7443,0.0385,32.0526,75,21508,48863,16718,27181,22532,47466,13239,9956,16434,16709,3608,41732,1604,48076,16896,26986,874,6693,33
51,0.8932,0.7577,1.0,0.5743,0.0642,0.7131,0.1938,0.6884,0.0442,31.0,75,19344,47598,16409,32324,21656,49035,12438,9690,15442,16200,4196,42316,1390,48529,14909,20396,958,7152,30
52,0.9611,0.8826,0.9933,0.7306,0.161,0.8396,0.2085,0.7563,0.172,33.7105,75,11034,34813,10132,15995,11403,42904,8387,11345,9639,13256,2394,43511,1848,48168,8682,20052,1974,5259,28
53,0.9444,0.7373,0.9867,0.5887,0.0771,0.7294,0.1604,0.7435,0.0597,32.0526,75,23852,41849,18620,21467,24919,48181,14868,10636,18421,17968,4050,43015,1946,47244,18777,26259,1507,8919,35
54,0.9444,0.7372,1.0,0.5884,0.0839,0.7293,0.1603,0.7434,0.0597,32.0526,75,23672,41591,18478,21343,25065,48576,14748,10582,18279,17868,4018,42726,2102,47885,18633,26103,1496,8860,35
55,0.9444,0.7372,1.0,0.5884,0.0839,0.7293,0.1603,0.7434,0.0597,32.0526,75,23672,41591,18478,21343,25065,48576,14748,10582,18279,17868,4018,42726,2102,47885,18633,26103,1496,8860,35
56,0.9902,0.944,1.0,0.7708,0.0214,0.944,0.1203,0.9421,0.1796,39.8158,75,26291,33735,25063,19255,26550,33912,20466,12016,25063,19255,3195,42694,567,48953,25012,29085,4769,11160,31
57,0.9537,0.8579,1.0,0.6994,0.0148,0.8579,0.1434,0.8208,0.0934,29.8684,75,29432,35162,26475,24586,30860,42915,21584,15725,26475,24586,4424,41598,458,48346,25331,33297,2881,15564,50
58,0.901,0.818,0.9919,0.6655,0.0376,0.818,0.1461,0.8184,0.0784,31.2895,75,27603,35414,25059,22731,30388,48664,20388,14539,25059,22731,4475,41989,1152,48593,25072,29535,2402,11276,45
59,0.9527,0.7918,0.9877,0.6376,0.0287,0.7856,0.1431,0.7574,0.0403,32.0526,75,27806,42683,23108,26564,28825,48017,18609,13002,22927,20309,4176,40811,839,49086,22105,31237,1176,7431,41
60,0.9562,0.8168,0.9919,0.6642,0.0217,0.8168,0.1464,0.7848,0.2086,31.2895,75,28838,36075,24634,22212,29914,49229,20032,14209,24634,22212,4416,41128,655,49160,23669,31781,6292,13329,41
